book,author,birthYear,bookLabel,authorLabel,authorLast
http://www.wikidata.org/entity/Q97170794,http://www.wikidata.org/entity/Q73506,1958,Love,Roddy Doyle,Doyle
http://www.wikidata.org/entity/Q1432001,http://www.wikidata.org/entity/Q5879,1749,Torquato Tasso,Johann Wolfgang von Goethe,Goethe
http://www.wikidata.org/entity/Q113814813,http://www.wikidata.org/entity/Q104792,1921,Torquato Tasso,Rudolf Noelte,Noelte
http://www.wikidata.org/entity/Q113814898,http://www.wikidata.org/entity/Q78899,1902,Torquato Tasso,Leopold Lindtberg,Lindtberg
http://www.wikidata.org/entity/Q246436,http://www.wikidata.org/entity/Q219829,1874,Miss Lulu Bett,Zona Gale,Gale
http://www.wikidata.org/entity/Q6876996,http://www.wikidata.org/entity/Q219829,1874,Miss Lulu Bett,Zona Gale,Gale
http://www.wikidata.org/entity/Q74752258,http://www.wikidata.org/entity/Q219829,1874,Miss Lulu Bett,Zona Gale,Gale
http://www.wikidata.org/entity/Q19239942,http://www.wikidata.org/entity/Q167856,1789,Wyandotté,James Fenimore Cooper,Cooper
http://www.wikidata.org/entity/Q1152137,http://www.wikidata.org/entity/Q7245,1835,Extract from Captain Stormfield's Visit to Heaven,Mark Twain,Twain
http://www.wikidata.org/entity/Q1066765,http://www.wikidata.org/entity/Q692,1564,Venus and Adonis,William Shakespeare,Shakespeare
http://www.wikidata.org/entity/Q4821965,http://www.wikidata.org/entity/Q207544,1856,Aunt Jane's Nieces in Society,L. Frank Baum,Baum
http://www.wikidata.org/entity/Q1531114,http://www.wikidata.org/entity/Q25089,1935,God,Woody Allen,Allen
http://www.wikidata.org/entity/Q10381652,http://www.wikidata.org/entity/Q42511,1866,The New Machiavelli,H. G. Wells,Wells
http://www.wikidata.org/entity/Q7296258,http://www.wikidata.org/entity/Q348623,1861,Rautatie,Juhani Aho,Aho
http://www.wikidata.org/entity/Q106542087,http://www.wikidata.org/entity/Q1476581,1788,The Golden Legend,Richard Harris Barham,Barham
